"employeeId","specialization","role","location","tLevel","lastUpdated"
"I770162","BTP UI5 Developer","Frontend Developer","Whitefield, Bangalore","T2","2024-10-26T10:00:00.000Z"
"I770163","S/4HANA","DevOps Engineer","Hyderabad","T3","2024-10-26T10:00:00.000Z"
"I770164","S/4HANA","Data Scientist","Mumbai","T3","2024-10-26T10:00:00.000Z"
"I770165","BTP","AI/ML Engineer","Gurugram","T4","2024-10-26T10:00:00.000Z"
"I770166","Data Science","Developer","Pune","T3","2024-10-26T10:00:00.000Z"
"I770167","SAC Consultant","Developer","Whitefield, Bangalore","T2","2024-10-26T10:00:00.000Z"
"I770168","Data Science","Backend Developer","Devanahalli Campuses, Bangalore","T3","2024-10-26T10:00:00.000Z"
"I773926","Full Stack Developer","Developer","Devanahalli Campuses, Bangalore","T1","2026-03-04T09:42:35.107Z"
"I774156","Full Stack Developer","Developer","Whitefield, Bangalore","T1","2026-03-04T09:45:02.342Z"
"I774157","Data Science","Solution Architect","Devanahalli Campuses, Bangalore","T3","2026-04-07T16:18:08.103Z"
"I774158","BTP","Solution Architect","Devanahalli Campuses, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774159","S/4HANA","Solution Architect","Pune","T4","2026-04-07T16:18:08.125Z"
"I774160","S/4HANA","Data Scientist","Hyderabad","T3","2026-04-07T16:18:08.125Z"
"I774161","BTP","Tech Lead","Mumbai","T3","2026-04-07T16:18:08.125Z"
"I774162","Data Science","Solution Architect","Mumbai","T4","2026-04-07T16:18:08.125Z"
"I774163","BTP","Full Stack Developer","Devanahalli Campuses, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774164","Data Science","Tech Lead","Pune","T3","2026-04-07T16:18:08.125Z"
"I774165","Data Science","Developer","Mumbai","T4","2026-04-07T16:18:08.125Z"
"I774166","Data Science","Senior Developer","Whitefield, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774167","BTP","Data Scientist","Whitefield, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774168","BTP","Solution Architect","Gurugram","T4","2026-04-07T16:18:08.125Z"
"I774169","Data Science","Senior Developer","Hyderabad","T3","2026-04-07T16:18:08.125Z"
"I774170","S/4HANA","Backend Developer","Whitefield, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774171","S/4HANA","Backend Developer","Gurugram","T4","2026-04-07T16:18:08.125Z"
"MGR001","Team Management","Manager","Bangalore","T5","2026-04-01T10:00:00.000Z"
"MGR002","Team Management","Manager","Chennai","T5","2026-04-01T10:00:00.000Z"
"MGR003","Team Management","Manager","Bangalore","T5","2026-04-01T10:00:00.000Z"
"MGR006","Team Management","Manager","Mumbai","T5","2026-04-01T10:00:00.000Z"
"MGR007","Team Management","Manager","Pune","T5","2026-04-01T10:00:00.000Z"
"MGR008","Team Management","Manager","Delhi","T5","2026-04-01T10:00:00.000Z"
"MGR009","Team Management","Manager","Hyderabad","T5","2026-04-01T10:00:00.000Z"
"MGR010","Team Management","Manager","Bangalore","T5","2026-04-01T10:00:00.000Z"
"MGR011","Team Management","Manager","Chennai","T5","2026-04-01T10:00:00.000Z"
"MGR012","Team Management","Manager","Bangalore","T5","2026-04-01T10:00:00.000Z"
"MGR013","Team Management","Manager","Pune","T5","2026-04-01T10:00:00.000Z"
"MGR014","Team Management","Manager","Mumbai","T5","2026-04-01T10:00:00.000Z"
"MGR015","Team Management","Manager","Delhi","T5","2026-04-01T10:00:00.000Z"
"MGR016","Team Management","Manager","Bangalore","T5","2026-04-01T10:00:00.000Z"
"SMGR01","Executive Leadership","Senior Manager","Bangalore","T6","2026-04-01T10:00:00.000Z"
